source_r_square,target_r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,maximumMeanDiscrepancy
0.66039526,0.46619952,x,velocity,0,1,None,0.9738310883223147
0.688764,0.3638314,y,velocity,0,1,None,0.9738310883223147
0.66039526,0.44497263,x,velocity,0,2,None,0.8681429063511968
0.688764,0.30402142,y,velocity,0,2,None,0.8681429063511968
0.66039526,0.49108213,x,velocity,0,3,None,0.4866449937236041
0.688764,0.5777743,y,velocity,0,3,None,0.4866449937236041
0.66039526,0.41490108,x,velocity,0,4,None,0.37646564480410516
0.688764,0.4634788,y,velocity,0,4,None,0.37646564480410516
0.66039526,0.45823944,x,velocity,0,5,None,0.36688946980329457
0.688764,0.50894445,y,velocity,0,5,None,0.36688946980329457
0.66039526,0.32955015,x,velocity,0,6,None,0.9931832014178278
0.688764,0.35340577,y,velocity,0,6,None,0.9931832014178278
0.66039526,0.32823467,x,velocity,0,7,None,0.5234519666774213
0.688764,0.3196758,y,velocity,0,7,None,0.5234519666774213
0.66039526,0.29792625,x,velocity,0,8,None,0.5426962727609739
0.688764,0.28646344,y,velocity,0,8,None,0.5426962727609739
0.66039526,0.18784827,x,velocity,0,9,None,0.8927533636404961
0.688764,0.31384522,y,velocity,0,9,None,0.8927533636404961
0.66039526,-0.012439489,x,velocity,0,10,None,1.2894824122095585
0.688764,-0.08741474,y,velocity,0,10,None,1.2894824122095585
0.66039526,0.22045726,x,velocity,0,11,None,0.5719573460174605
0.688764,0.2474947,y,velocity,0,11,None,0.5719573460174605
0.66039526,0.190947,x,velocity,0,12,None,0.5219113670465678
0.688764,0.2666769,y,velocity,0,12,None,0.5219113670465678
0.66039526,0.07938987,x,velocity,0,13,None,0.5546867681770802
0.688764,0.14381683,y,velocity,0,13,None,0.5546867681770802
0.66039526,0.07366896,x,velocity,0,14,None,0.8856191159677937
0.688764,0.16484481,y,velocity,0,14,None,0.8856191159677937
0.66039526,0.05924052,x,velocity,0,15,None,0.8710951230097503
0.688764,0.17342633,y,velocity,0,15,None,0.8710951230097503
0.66039526,0.111469984,x,velocity,0,16,None,0.655878583513853
0.688764,0.11979878,y,velocity,0,16,None,0.655878583513853
0.66039526,0.08123994,x,velocity,0,17,None,0.6536262344970435
0.688764,0.13934427,y,velocity,0,17,None,0.6536262344970435
0.66039526,0.046007335,x,velocity,0,18,None,0.6882554772679419
0.688764,0.091312766,y,velocity,0,18,None,0.6882554772679419
0.66039526,0.050033808,x,velocity,0,19,None,0.769833510716161
0.688764,0.14274967,y,velocity,0,19,None,0.769833510716161
0.66039526,0.06403446,x,velocity,0,20,None,0.6760769422567025
0.688764,0.21592122,y,velocity,0,20,None,0.6760769422567025
0.66039526,0.05765879,x,velocity,0,21,None,0.7873914252314986
