sourceSessionIndex,targetSessionIndex,domain,axis,dataset,rSquare
15.0,16.0,source,x,test,0.7108058384648283
15.0,16.0,source,y,train,0.9825223773916444
15.0,16.0,source,y,test,0.8176113075150601
15.0,16.0,target,x,train,0.9843784906815586
15.0,16.0,target,x,test,0.6958414334721703
15.0,16.0,target,y,train,0.9838464910339256
15.0,16.0,target,y,test,0.7989631583205942
16.0,17.0,source,x,train,0.9778131529116167
16.0,17.0,source,x,test,0.7167667724759218
16.0,17.0,source,y,train,0.9831977404161224
16.0,17.0,source,y,test,0.8150585704538251
16.0,17.0,target,x,train,0.9744504898002728
16.0,17.0,target,x,test,0.7125607499934281
16.0,17.0,target,y,train,0.9825253050795956
16.0,17.0,target,y,test,0.831632867783677
17.0,18.0,source,x,train,0.9744786940624408
17.0,18.0,source,x,test,0.7135942762732022
17.0,18.0,source,y,train,0.9884746450167884
17.0,18.0,source,y,test,0.7958634749343045
17.0,18.0,target,x,train,0.9737090306944964
17.0,18.0,target,x,test,0.7286007659641693
17.0,18.0,target,y,train,0.987076200073977
17.0,18.0,target,y,test,0.7862692496078441
18.0,19.0,source,x,train,0.986247498704542
18.0,19.0,source,x,test,0.7173484090334905
18.0,19.0,source,y,train,0.9629862778917796
18.0,19.0,source,y,test,0.7762451935834666
18.0,19.0,target,x,train,0.9845792461866074
18.0,19.0,target,x,test,0.6579948056265665
18.0,19.0,target,y,train,0.9686284450392132
18.0,19.0,target,y,test,0.7836281365806306
19.0,20.0,source,x,train,0.9870715511152894
19.0,20.0,source,x,test,0.6541628427855103
19.0,20.0,source,y,train,0.9818195901286434
19.0,20.0,source,y,test,0.7941141502510806
19.0,20.0,target,x,train,0.9837706875726006
19.0,20.0,target,x,test,0.6912174134179548
19.0,20.0,target,y,train,0.9780606821726014
19.0,20.0,target,y,test,0.776121676363162
20.0,21.0,source,x,train,0.9696122031710236
20.0,21.0,source,x,test,0.7002871317551325
20.0,21.0,source,y,train,0.979422292584926
20.0,21.0,source,y,test,0.8086950387061098
20.0,21.0,target,x,train,0.9779179830505392
20.0,21.0,target,x,test,0.722696864221366
20.0,21.0,target,y,train,0.9741130411886204
20.0,21.0,target,y,test,0.7600801963366605
21.0,22.0,source,x,train,0.9835664550184952
21.0,22.0,source,x,test,0.6911205615498043
21.0,22.0,source,y,train,0.9860875679860556
21.0,22.0,source,y,test,0.723362665195807
21.0,22.0,target,x,train,0.98807056701342
21.0,22.0,target,x,test,0.7045633912647432
21.0,22.0,target,y,train,0.9891093232721052
21.0,22.0,target,y,test,0.7970362984493233
22.0,23.0,source,x,train,0.9809244681557768
22.0,23.0,source,x,test,0.7070154894823251
22.0,23.0,source,y,train,0.9872187707517788
22.0,23.0,source,y,test,0.8096435843691451
22.0,23.0,target,x,train,0.972938570506314
22.0,23.0,target,x,test,0.7149828150944266
22.0,23.0,target,y,train,0.9894882872752124
22.0,23.0,target,y,test,0.7938238340638852
23.0,24.0,source,x,train,0.9451430385905472
23.0,24.0,source,x,test,0.6694001393997009
23.0,24.0,source,y,train,0.9725134680032576
23.0,24.0,source,y,test,0.7997306113679078
23.0,24.0,target,x,train,0.9654056290857356
23.0,24.0,target,x,test,0.6867279305715881
23.0,24.0,target,y,train,0.9706877680530798
23.0,24.0,target,y,test,0.8166083454452213
24.0,25.0,source,x,train,0.980122571493512
24.0,25.0,source,x,test,0.7364381533678517
24.0,25.0,source,y,train,0.9777307701038392
24.0,25.0,source,y,test,0.8283998946918876
24.0,25.0,target,x,train,0.977676389252684
24.0,25.0,target,x,test,0.7674831498353043
24.0,25.0,target,y,train,0.9669669825265838
24.0,25.0,target,y,test,0.8250681148472249
25.0,26.0,source,x,train,0.9812510384244376
25.0,26.0,source,x,test,0.7713073488481107
25.0,26.0,source,y,train,0.9692881771673942
25.0,26.0,source,y,test,0.8004505296470175
25.0,26.0,target,x,train,0.982184075587562
25.0,26.0,target,x,test,0.7446886002088677
25.0,26.0,target,y,train,0.985406952365989
25.0,26.0,target,y,test,0.8279174764656683
26.0,27.0,source,x,train,0.9828817509023896
26.0,27.0,source,x,test,0.7384234352978443
26.0,27.0,source,y,train,0.982103266764096
26.0,27.0,source,y,test,0.8188913244944248
26.0,27.0,target,x,train,0.9808889912364668
26.0,27.0,target,x,test,0.7218676830600999
26.0,27.0,target,y,train,0.9843322033505648
26.0,27.0,target,y,test,0.8136697500446837
27.0,28.0,source,x,train,0.986358934899041
27.0,28.0,source,x,test,0.7446435757816021
27.0,28.0,source,y,train,0.986972190190378
27.0,28.0,source,y,test,0.7845805718416039
27.0,28.0,target,x,train,0.9898934080511318
27.0,28.0,target,x,test,0.7362648714440316
27.0,28.0,target,y,train,0.9867306578280488
27.0,28.0,target,y,test,0.7442567468681067
28.0,29.0,source,x,train,0.972118918571439
28.0,29.0,source,x,test,0.7104921414231922
28.0,29.0,source,y,train,0.987733445064138
28.0,29.0,source,y,test,0.7526047171289599
28.0,29.0,target,x,train,0.9622582651917362
28.0,29.0,target,x,test,0.5446296432058438
28.0,29.0,target,y,train,0.9815108847789668
28.0,29.0,target,y,test,0.6441861297365221
29.0,30.0,source,x,train,0.9740628646128848
29.0,30.0,source,x,test,0.4910711975607763
29.0,30.0,source,y,train,0.9770080768900185
29.0,30.0,source,y,test,0.660312934068479
29.0,30.0,target,x,train,0.978651500510101
29.0,30.0,target,x,test,0.7319322025447277
29.0,30.0,target,y,train,0.9855682336629232
29.0,30.0,target,y,test,0.8526098818768658
30.0,31.0,source,x,train,0.9741955095739148
30.0,31.0,source,x,test,0.7374848433377559
30.0,31.0,source,y,train,0.97998318386292
30.0,31.0,source,y,test,0.8493896611241512
30.0,31.0,target,x,train,0.9794262818312288
30.0,31.0,target,x,test,0.736852764675539
30.0,31.0,target,y,train,0.989834690019373
30.0,31.0,target,y,test,0.8402465227390967
31.0,32.0,source,x,train,0.9846865442406364
31.0,32.0,source,x,test,0.7202740063357886
31.0,32.0,source,y,train,0.9743939046053388
31.0,32.0,source,y,test,0.8351427843145852
31.0,32.0,target,x,train,0.9866163923705544
31.0,32.0,target,x,test,0.5981662919801434
31.0,32.0,target,y,train,0.9765148986637388
31.0,32.0,target,y,test,0.7181879351585736
32.0,33.0,source,x,train,0.9852044365068214
32.0,33.0,source,x,test,0.6232575420899873
32.0,33.0,source,y,train,0.965966983382015
32.0,33.0,source,y,test,0.7595435408113375
32.0,33.0,target,x,train,0.986963598243221
32.0,33.0,target,x,test,0.7429450821206793
32.0,33.0,target,y,train,0.9754066646132832
32.0,33.0,target,y,test,0.8050729587966139
33.0,34.0,source,x,train,0.9840205011786968
33.0,34.0,source,x,test,0.725707159341706
33.0,34.0,source,y,train,0.9707143285520856
33.0,34.0,source,y,test,0.798303105758068
33.0,34.0,target,x,train,0.9820885131078324
33.0,34.0,target,x,test,0.7798706911362983
33.0,34.0,target,y,train,0.978703673439962
33.0,34.0,target,y,test,0.836365026097769
34.0,35.0,source,x,train,0.983779976204304
34.0,35.0,source,x,test,0.7885589638798769
34.0,35.0,source,y,train,0.9716421263128252
34.0,35.0,source,y,test,0.8428050985156608
34.0,35.0,target,x,train,0.987096593359556
34.0,35.0,target,x,test,0.754391801862069
34.0,35.0,target,y,train,0.9639536226293364
34.0,35.0,target,y,test,0.7714348045149508
35.0,36.0,source,x,train,0.9846819939247564
35.0,36.0,source,x,test,0.7610243623220592
35.0,36.0,source,y,train,0.9881680744784984
35.0,36.0,source,y,test,0.7903641647098951
35.0,36.0,target,x,train,0.981329237750386
35.0,36.0,target,x,test,0.7090885071725526
35.0,36.0,target,y,train,0.984004271327304
35.0,36.0,target,y,test,0.732829787466138
