r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.72507703,x,velocity,1,20,None,MixCalibration
0.8063652,y,velocity,1,20,None,MixCalibration
0.6551571,x,velocity,1,21,None,MixCalibration
0.74384373,y,velocity,1,21,None,MixCalibration
0.71282697,x,velocity,1,22,None,MixCalibration
0.8041333,y,velocity,1,22,None,MixCalibration
0.70453143,x,velocity,1,23,None,MixCalibration
0.79934067,y,velocity,1,23,None,MixCalibration
0.7621219,x,velocity,1,24,None,MixCalibration
0.82506675,y,velocity,1,24,None,MixCalibration
0.6963095,x,velocity,1,25,None,MixCalibration
0.81522286,y,velocity,1,25,None,MixCalibration
0.7163239,x,velocity,1,26,None,MixCalibration
0.8265526,y,velocity,1,26,None,MixCalibration
0.749405,x,velocity,1,27,None,MixCalibration
0.8285775,y,velocity,1,27,None,MixCalibration
0.66409016,x,velocity,1,28,None,MixCalibration
0.76380336,y,velocity,1,28,None,MixCalibration
0.5360843,x,velocity,1,29,None,MixCalibration
0.6471751,y,velocity,1,29,None,MixCalibration
0.74845386,x,velocity,1,30,None,MixCalibration
0.8388232,y,velocity,1,30,None,MixCalibration
0.670807,x,velocity,1,31,None,MixCalibration
0.82717055,y,velocity,1,31,None,MixCalibration
0.6232414,x,velocity,1,32,None,MixCalibration
0.7231497,y,velocity,1,32,None,MixCalibration
0.7304828,x,velocity,1,33,None,MixCalibration
0.783252,y,velocity,1,33,None,MixCalibration
0.7654117,x,velocity,1,34,None,MixCalibration
0.84830505,y,velocity,1,34,None,MixCalibration
0.7303963,x,velocity,1,35,None,MixCalibration
0.78341085,y,velocity,1,35,None,MixCalibration
0.7198192,x,velocity,1,36,None,MixCalibration
0.7282175,y,velocity,1,36,None,MixCalibration
0.6753806,x,velocity,2,0,None,MixCalibration
0.7325797,y,velocity,2,0,None,MixCalibration
0.7973255,x,velocity,2,1,None,MixCalibration
0.82725257,y,velocity,2,1,None,MixCalibration
0.6843593,x,velocity,2,3,None,MixCalibration
0.7407786,y,velocity,2,3,None,MixCalibration
0.76114553,x,velocity,2,4,None,MixCalibration
0.6702876,y,velocity,2,4,None,MixCalibration
0.74275196,x,velocity,2,5,None,MixCalibration
0.73859024,y,velocity,2,5,None,MixCalibration
0.7486944,x,velocity,2,6,None,MixCalibration
0.7349469,y,velocity,2,6,None,MixCalibration
0.6211189,x,velocity,2,7,None,MixCalibration
0.5959501,y,velocity,2,7,None,MixCalibration
0.64328414,x,velocity,2,8,None,MixCalibration
0.760364,y,velocity,2,8,None,MixCalibration
0.60957956,x,velocity,2,9,None,MixCalibration
0.7910893,y,velocity,2,9,None,MixCalibration
0.50592256,x,velocity,2,10,None,MixCalibration
0.7077435,y,velocity,2,10,None,MixCalibration
0.7269443,x,velocity,2,11,None,MixCalibration
0.793664,y,velocity,2,11,None,MixCalibration
0.73700035,x,velocity,2,12,None,MixCalibration
0.8247732,y,velocity,2,12,None,MixCalibration
0.67910326,x,velocity,2,13,None,MixCalibration
0.85439914,y,velocity,2,13,None,MixCalibration
0.748707,x,velocity,2,14,None,MixCalibration
0.85812604,y,velocity,2,14,None,MixCalibration
0.70037115,x,velocity,2,15,None,MixCalibration
0.7481687,y,velocity,2,15,None,MixCalibration
0.7161894,x,velocity,2,16,None,MixCalibration
0.7553867,y,velocity,2,16,None,MixCalibration
0.7178469,x,velocity,2,17,None,MixCalibration
0.8028697,y,velocity,2,17,None,MixCalibration
0.59000814,x,velocity,2,18,None,MixCalibration
0.7589117,y,velocity,2,18,None,MixCalibration
0.6721003,x,velocity,2,19,None,MixCalibration
0.80805075,y,velocity,2,19,None,MixCalibration
0.7227142,x,velocity,2,20,None,MixCalibration
0.81180465,y,velocity,2,20,None,MixCalibration
0.6999328,x,velocity,2,21,None,MixCalibration
0.74811435,y,velocity,2,21,None,MixCalibration
0.70577633,x,velocity,2,22,None,MixCalibration
0.79676986,y,velocity,2,22,None,MixCalibration
0.7326678,x,velocity,2,23,None,MixCalibration
0.80263746,y,velocity,2,23,None,MixCalibration
0.73012424,x,velocity,2,24,None,MixCalibration
0.83081543,y,velocity,2,24,None,MixCalibration
0.72462565,x,velocity,2,25,None,MixCalibration
0.78740025,y,velocity,2,25,None,MixCalibration
0.7482482,x,velocity,2,26,None,MixCalibration
0.8210133,y,velocity,2,26,None,MixCalibration
0.7765591,x,velocity,2,27,None,MixCalibration
0.8360176,y,velocity,2,27,None,MixCalibration
0.71511984,x,velocity,2,28,None,MixCalibration
0.75705755,y,velocity,2,28,None,MixCalibration
0.5409148,x,velocity,2,29,None,MixCalibration
0.6294515,y,velocity,2,29,None,MixCalibration
0.73160064,x,velocity,2,30,None,MixCalibration
0.83650637,y,velocity,2,30,None,MixCalibration
0.65443456,x,velocity,2,31,None,MixCalibration
0.81507194,y,velocity,2,31,None,MixCalibration
0.6347333,x,velocity,2,32,None,MixCalibration
0.7272298,y,velocity,2,32,None,MixCalibration
0.7205192,x,velocity,2,33,None,MixCalibration
0.7844855,y,velocity,2,33,None,MixCalibration
0.7941694,x,velocity,2,34,None,MixCalibration
0.865376,y,velocity,2,34,None,MixCalibration
0.7327144,x,velocity,2,35,None,MixCalibration
0.7620568,y,velocity,2,35,None,MixCalibration
0.70322335,x,velocity,2,36,None,MixCalibration
0.73600274,y,velocity,2,36,None,MixCalibration
0.66989034,x,velocity,3,0,None,MixCalibration
0.7175675,y,velocity,3,0,None,MixCalibration
0.7468287,x,velocity,3,1,None,MixCalibration
0.75673836,y,velocity,3,1,None,MixCalibration
0.75479853,x,velocity,3,2,None,MixCalibration
0.7649498,y,velocity,3,2,None,MixCalibration
0.7598594,x,velocity,3,4,None,MixCalibration
0.7157735,y,velocity,3,4,None,MixCalibration
0.7394724,x,velocity,3,5,None,MixCalibration
0.7550359,y,velocity,3,5,None,MixCalibration
0.75507516,x,velocity,3,6,None,MixCalibration
0.73352325,y,velocity,3,6,None,MixCalibration
0.5944241,x,velocity,3,7,None,MixCalibration
0.5824293,y,velocity,3,7,None,MixCalibration
0.6415638,x,velocity,3,8,None,MixCalibration
0.7487669,y,velocity,3,8,None,MixCalibration
0.6244968,x,velocity,3,9,None,MixCalibration
0.79519665,y,velocity,3,9,None,MixCalibration
0.49019074,x,velocity,3,10,None,MixCalibration
0.7225307,y,velocity,3,10,None,MixCalibration
0.7023143,x,velocity,3,11,None,MixCalibration
0.77722,y,velocity,3,11,None,MixCalibration
0.7321521,x,velocity,3,12,None,MixCalibration
0.8185824,y,velocity,3,12,None,MixCalibration
0.70125115,x,velocity,3,13,None,MixCalibration
0.8376578,y,velocity,3,13,None,MixCalibration
0.7904772,x,velocity,3,14,None,MixCalibration
0.8483063,y,velocity,3,14,None,MixCalibration
0.68187314,x,velocity,3,15,None,MixCalibration
0.7166608,y,velocity,3,15,None,MixCalibration
0.74482524,x,velocity,3,16,None,MixCalibration
0.77535605,y,velocity,3,16,None,MixCalibration
0.7158395,x,velocity,3,17,None,MixCalibration
0.82851076,y,velocity,3,17,None,MixCalibration
0.64494133,x,velocity,3,18,None,MixCalibration
0.79378104,y,velocity,3,18,None,MixCalibration
0.673893,x,velocity,3,19,None,MixCalibration
0.8083298,y,velocity,3,19,None,MixCalibration
0.6974171,x,velocity,3,20,None,MixCalibration
0.78640497,y,velocity,3,20,None,MixCalibration
0.68048155,x,velocity,3,21,None,MixCalibration
0.7296176,y,velocity,3,21,None,MixCalibration
0.7032839,x,velocity,3,22,None,MixCalibration
0.8133317,y,velocity,3,22,None,MixCalibration
0.71191776,x,velocity,3,23,None,MixCalibration
0.80295575,y,velocity,3,23,None,MixCalibration
0.74262273,x,velocity,3,24,None,MixCalibration
0.82521665,y,velocity,3,24,None,MixCalibration
0.705301,x,velocity,3,25,None,MixCalibration
0.8045635,y,velocity,3,25,None,MixCalibration
0.77198666,x,velocity,3,26,None,MixCalibration
0.8167997,y,velocity,3,26,None,MixCalibration
0.749984,x,velocity,3,27,None,MixCalibration
0.8407711,y,velocity,3,27,None,MixCalibration
0.7045576,x,velocity,3,28,None,MixCalibration
0.7792825,y,velocity,3,28,None,MixCalibration
0.5452614,x,velocity,3,29,None,MixCalibration
0.6410576,y,velocity,3,29,None,MixCalibration
0.7125535,x,velocity,3,30,None,MixCalibration
0.83978057,y,velocity,3,30,None,MixCalibration
0.6750035,x,velocity,3,31,None,MixCalibration
0.83432025,y,velocity,3,31,None,MixCalibration
0.6284304,x,velocity,3,32,None,MixCalibration
0.7410815,y,velocity,3,32,None,MixCalibration
0.7291182,x,velocity,3,33,None,MixCalibration
0.791731,y,velocity,3,33,None,MixCalibration
0.78308564,x,velocity,3,34,None,MixCalibration
0.8496032,y,velocity,3,34,None,MixCalibration
0.7349504,x,velocity,3,35,None,MixCalibration
0.77049154,y,velocity,3,35,None,MixCalibration
0.7337061,x,velocity,3,36,None,MixCalibration
0.74514306,y,velocity,3,36,None,MixCalibration
0.6854433,x,velocity,4,0,None,MixCalibration
0.7076327,y,velocity,4,0,None,MixCalibration
0.7149077,x,velocity,4,1,None,MixCalibration
0.7463022,y,velocity,4,1,None,MixCalibration
0.75619614,x,velocity,4,2,None,MixCalibration
0.7602768,y,velocity,4,2,None,MixCalibration
0.7012242,x,velocity,4,3,None,MixCalibration
0.74187833,y,velocity,4,3,None,MixCalibration
0.73835915,x,velocity,4,5,None,MixCalibration
0.7579625,y,velocity,4,5,None,MixCalibration
0.76018226,x,velocity,4,6,None,MixCalibration
0.7457845,y,velocity,4,6,None,MixCalibration
0.6340833,x,velocity,4,7,None,MixCalibration
0.5576176,y,velocity,4,7,None,MixCalibration
0.6178832,x,velocity,4,8,None,MixCalibration
0.7518325,y,velocity,4,8,None,MixCalibration
0.6501849,x,velocity,4,9,None,MixCalibration
0.80300105,y,velocity,4,9,None,MixCalibration
0.49092126,x,velocity,4,10,None,MixCalibration
0.6958719,y,velocity,4,10,None,MixCalibration
0.7216525,x,velocity,4,11,None,MixCalibration
0.7750114,y,velocity,4,11,None,MixCalibration
0.7404748,x,velocity,4,12,None,MixCalibration
0.82493955,y,velocity,4,12,None,MixCalibration
0.7055008,x,velocity,4,13,None,MixCalibration
0.84515834,y,velocity,4,13,None,MixCalibration
0.7868681,x,velocity,4,14,None,MixCalibration
0.8331582,y,velocity,4,14,None,MixCalibration
0.6560526,x,velocity,4,15,None,MixCalibration
0.75853074,y,velocity,4,15,None,MixCalibration
0.71559644,x,velocity,4,16,None,MixCalibration
0.7376075,y,velocity,4,16,None,MixCalibration
0.703678,x,velocity,4,17,None,MixCalibration
0.8128136,y,velocity,4,17,None,MixCalibration
0.6107207,x,velocity,4,18,None,MixCalibration
0.7666044,y,velocity,4,18,None,MixCalibration
0.65554,x,velocity,4,19,None,MixCalibration
0.7923628,y,velocity,4,19,None,MixCalibration
0.69291157,x,velocity,4,20,None,MixCalibration
0.80810744,y,velocity,4,20,None,MixCalibration
0.6908944,x,velocity,4,21,None,MixCalibration
0.7387305,y,velocity,4,21,None,MixCalibration
0.70977855,x,velocity,4,22,None,MixCalibration
0.8057316,y,velocity,4,22,None,MixCalibration
0.696146,x,velocity,4,23,None,MixCalibration
0.79373384,y,velocity,4,23,None,MixCalibration
0.7544087,x,velocity,4,24,None,MixCalibration
0.84457326,y,velocity,4,24,None,MixCalibration
0.70092547,x,velocity,4,25,None,MixCalibration
0.81380427,y,velocity,4,25,None,MixCalibration
0.7449169,x,velocity,4,26,None,MixCalibration
0.811224,y,velocity,4,26,None,MixCalibration
0.77068734,x,velocity,4,27,None,MixCalibration
0.8355842,y,velocity,4,27,None,MixCalibration
0.69018507,x,velocity,4,28,None,MixCalibration
0.77234316,y,velocity,4,28,None,MixCalibration
0.54855514,x,velocity,4,29,None,MixCalibration
0.6586374,y,velocity,4,29,None,MixCalibration
0.7258364,x,velocity,4,30,None,MixCalibration
0.83395123,y,velocity,4,30,None,MixCalibration
0.6637775,x,velocity,4,31,None,MixCalibration
0.8178456,y,velocity,4,31,None,MixCalibration
0.62594575,x,velocity,4,32,None,MixCalibration
0.747002,y,velocity,4,32,None,MixCalibration
0.7089281,x,velocity,4,33,None,MixCalibration
0.7744559,y,velocity,4,33,None,MixCalibration
0.75860804,x,velocity,4,34,None,MixCalibration
0.85382676,y,velocity,4,34,None,MixCalibration
0.7230654,x,velocity,4,35,None,MixCalibration
0.765434,y,velocity,4,35,None,MixCalibration
0.70925635,x,velocity,4,36,None,MixCalibration
0.7245041,y,velocity,4,36,None,MixCalibration
0.66993237,x,velocity,5,0,None,MixCalibration
0.70955217,y,velocity,5,0,None,MixCalibration
0.72087306,x,velocity,5,1,None,MixCalibration
0.7434337,y,velocity,5,1,None,MixCalibration
0.7263884,x,velocity,5,2,None,MixCalibration
0.7606149,y,velocity,5,2,None,MixCalibration
0.685447,x,velocity,5,3,None,MixCalibration
0.75723577,y,velocity,5,3,None,MixCalibration
0.7590653,x,velocity,5,4,None,MixCalibration
0.6987028,y,velocity,5,4,None,MixCalibration
0.74432147,x,velocity,5,6,None,MixCalibration
0.7107316,y,velocity,5,6,None,MixCalibration
0.62873197,x,velocity,5,7,None,MixCalibration
0.60015285,y,velocity,5,7,None,MixCalibration
0.6386821,x,velocity,5,8,None,MixCalibration
0.7486953,y,velocity,5,8,None,MixCalibration
0.6402451,x,velocity,5,9,None,MixCalibration
0.7946937,y,velocity,5,9,None,MixCalibration
0.49836838,x,velocity,5,10,None,MixCalibration
0.7055905,y,velocity,5,10,None,MixCalibration
0.7012824,x,velocity,5,11,None,MixCalibration
0.76302975,y,velocity,5,11,None,MixCalibration
0.7574756,x,velocity,5,12,None,MixCalibration
0.8355733,y,velocity,5,12,None,MixCalibration
0.6522409,x,velocity,5,13,None,MixCalibration
0.8469822,y,velocity,5,13,None,MixCalibration
0.78439677,x,velocity,5,14,None,MixCalibration
0.8189796,y,velocity,5,14,None,MixCalibration
0.68907017,x,velocity,5,15,None,MixCalibration
0.7462248,y,velocity,5,15,None,MixCalibration
0.7244101,x,velocity,5,16,None,MixCalibration
0.7566127,y,velocity,5,16,None,MixCalibration
0.6913129,x,velocity,5,17,None,MixCalibration
0.8168296,y,velocity,5,17,None,MixCalibration
0.68692356,x,velocity,5,18,None,MixCalibration
0.77392715,y,velocity,5,18,None,MixCalibration
0.6576441,x,velocity,5,19,None,MixCalibration
0.8056052,y,velocity,5,19,None,MixCalibration
0.687012,x,velocity,5,20,None,MixCalibration
0.78816366,y,velocity,5,20,None,MixCalibration
0.7158765,x,velocity,5,21,None,MixCalibration
0.75057936,y,velocity,5,21,None,MixCalibration
0.70348907,x,velocity,5,22,None,MixCalibration
0.80836403,y,velocity,5,22,None,MixCalibration
0.69124824,x,velocity,5,23,None,MixCalibration
0.80903226,y,velocity,5,23,None,MixCalibration
0.76783556,x,velocity,5,24,None,MixCalibration
0.8466291,y,velocity,5,24,None,MixCalibration
0.7042477,x,velocity,5,25,None,MixCalibration
0.81403434,y,velocity,5,25,None,MixCalibration
0.75279915,x,velocity,5,26,None,MixCalibration
0.8244387,y,velocity,5,26,None,MixCalibration
0.7782334,x,velocity,5,27,None,MixCalibration
0.81694454,y,velocity,5,27,None,MixCalibration
0.720696,x,velocity,5,28,None,MixCalibration
0.7680533,y,velocity,5,28,None,MixCalibration
0.54190505,x,velocity,5,29,None,MixCalibration
0.6468457,y,velocity,5,29,None,MixCalibration
0.7430918,x,velocity,5,30,None,MixCalibration
0.83605075,y,velocity,5,30,None,MixCalibration
0.6852357,x,velocity,5,31,None,MixCalibration
0.83287144,y,velocity,5,31,None,MixCalibration
0.63604474,x,velocity,5,32,None,MixCalibration
0.72252476,y,velocity,5,32,None,MixCalibration
0.72255826,x,velocity,5,33,None,MixCalibration
0.7834388,y,velocity,5,33,None,MixCalibration
0.7900109,x,velocity,5,34,None,MixCalibration
0.852342,y,velocity,5,34,None,MixCalibration
0.7320031,x,velocity,5,35,None,MixCalibration
0.77271444,y,velocity,5,35,None,MixCalibration
0.7170472,x,velocity,5,36,None,MixCalibration
0.74722373,y,velocity,5,36,None,MixCalibration
0.6752818,x,velocity,6,0,None,MixCalibration
0.7002517,y,velocity,6,0,None,MixCalibration
0.7347529,x,velocity,6,1,None,MixCalibration
0.7210083,y,velocity,6,1,None,MixCalibration
0.75910753,x,velocity,6,2,None,MixCalibration
0.77849656,y,velocity,6,2,None,MixCalibration
0.7138847,x,velocity,6,3,None,MixCalibration
0.75469923,y,velocity,6,3,None,MixCalibration
0.75215024,x,velocity,6,4,None,MixCalibration
0.69748414,y,velocity,6,4,None,MixCalibration
0.7380917,x,velocity,6,5,None,MixCalibration
0.75924325,y,velocity,6,5,None,MixCalibration
0.6627193,x,velocity,6,7,None,MixCalibration
0.6206478,y,velocity,6,7,None,MixCalibration
0.6144264,x,velocity,6,8,None,MixCalibration
0.7518711,y,velocity,6,8,None,MixCalibration
0.6519353,x,velocity,6,9,None,MixCalibration
0.79207015,y,velocity,6,9,None,MixCalibration
0.50646853,x,velocity,6,10,None,MixCalibration
0.72387433,y,velocity,6,10,None,MixCalibration
0.7277251,x,velocity,6,11,None,MixCalibration
0.8063767,y,velocity,6,11,None,MixCalibration
0.75367045,x,velocity,6,12,None,MixCalibration
0.8397704,y,velocity,6,12,None,MixCalibration
0.7106465,x,velocity,6,13,None,MixCalibration
0.8360591,y,velocity,6,13,None,MixCalibration
0.77050877,x,velocity,6,14,None,MixCalibration
0.84799427,y,velocity,6,14,None,MixCalibration
0.69801646,x,velocity,6,15,None,MixCalibration
0.71254385,y,velocity,6,15,None,MixCalibration
0.7213195,x,velocity,6,16,None,MixCalibration
0.7415333,y,velocity,6,16,None,MixCalibration
0.7343837,x,velocity,6,17,None,MixCalibration
0.83058643,y,velocity,6,17,None,MixCalibration
0.6186146,x,velocity,6,18,None,MixCalibration
0.7833297,y,velocity,6,18,None,MixCalibration
0.66821027,x,velocity,6,19,None,MixCalibration
0.7865148,y,velocity,6,19,None,MixCalibration
0.7145153,x,velocity,6,20,None,MixCalibration
0.8086635,y,velocity,6,20,None,MixCalibration
0.6686224,x,velocity,6,21,None,MixCalibration
0.75260687,y,velocity,6,21,None,MixCalibration
0.69562274,x,velocity,6,22,None,MixCalibration
0.8077682,y,velocity,6,22,None,MixCalibration
0.7221316,x,velocity,6,23,None,MixCalibration
0.825727,y,velocity,6,23,None,MixCalibration
0.7454601,x,velocity,6,24,None,MixCalibration
0.8455016,y,velocity,6,24,None,MixCalibration
0.70163655,x,velocity,6,25,None,MixCalibration
0.8199462,y,velocity,6,25,None,MixCalibration
0.74478304,x,velocity,6,26,None,MixCalibration
0.82147634,y,velocity,6,26,None,MixCalibration
0.7845328,x,velocity,6,27,None,MixCalibration
0.8258929,y,velocity,6,27,None,MixCalibration
0.68180037,x,velocity,6,28,None,MixCalibration
0.7609593,y,velocity,6,28,None,MixCalibration
0.5291517,x,velocity,6,29,None,MixCalibration
0.6398457,y,velocity,6,29,None,MixCalibration
0.7131467,x,velocity,6,30,None,MixCalibration
0.8378044,y,velocity,6,30,None,MixCalibration
0.69480443,x,velocity,6,31,None,MixCalibration
0.83309627,y,velocity,6,31,None,MixCalibration
0.62735295,x,velocity,6,32,None,MixCalibration
0.72734374,y,velocity,6,32,None,MixCalibration
0.7094497,x,velocity,6,33,None,MixCalibration
0.7490211,y,velocity,6,33,None,MixCalibration
0.79268914,x,velocity,6,34,None,MixCalibration
0.8299489,y,velocity,6,34,None,MixCalibration
0.7251074,x,velocity,6,35,None,MixCalibration
0.77137995,y,velocity,6,35,None,MixCalibration
0.7472704,x,velocity,6,36,None,MixCalibration
0.76233304,y,velocity,6,36,None,MixCalibration
0.6574414,x,velocity,7,0,None,MixCalibration
0.7090111,y,velocity,7,0,None,MixCalibration
0.728848,x,velocity,7,1,None,MixCalibration
0.7366746,y,velocity,7,1,None,MixCalibration
0.7322256,x,velocity,7,2,None,MixCalibration
0.7571121,y,velocity,7,2,None,MixCalibration
0.6770786,x,velocity,7,3,None,MixCalibration
0.72416174,y,velocity,7,3,None,MixCalibration
0.72278774,x,velocity,7,4,None,MixCalibration
0.6334611,y,velocity,7,4,None,MixCalibration
0.7468685,x,velocity,7,5,None,MixCalibration
0.7410909,y,velocity,7,5,None,MixCalibration
0.7329836,x,velocity,7,6,None,MixCalibration
0.69856906,y,velocity,7,6,None,MixCalibration
0.6193704,x,velocity,7,8,None,MixCalibration
0.75835896,y,velocity,7,8,None,MixCalibration
0.6186794,x,velocity,7,9,None,MixCalibration
0.78847903,y,velocity,7,9,None,MixCalibration
0.49451357,x,velocity,7,10,None,MixCalibration
0.7178124,y,velocity,7,10,None,MixCalibration
0.6466302,x,velocity,7,11,None,MixCalibration
0.7675545,y,velocity,7,11,None,MixCalibration
0.727396,x,velocity,7,12,None,MixCalibration
0.8050741,y,velocity,7,12,None,MixCalibration
0.70784366,x,velocity,7,13,None,MixCalibration
0.853156,y,velocity,7,13,None,MixCalibration
0.7795286,x,velocity,7,14,None,MixCalibration
0.8174338,y,velocity,7,14,None,MixCalibration
0.67784417,x,velocity,7,15,None,MixCalibration
0.7198509,y,velocity,7,15,None,MixCalibration
0.7103361,x,velocity,7,16,None,MixCalibration
0.73305047,y,velocity,7,16,None,MixCalibration
0.7199739,x,velocity,7,17,None,MixCalibration
0.83254623,y,velocity,7,17,None,MixCalibration
0.58990717,x,velocity,7,18,None,MixCalibration
0.769387,y,velocity,7,18,None,MixCalibration
0.6488817,x,velocity,7,19,None,MixCalibration
